adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
#23843778916890538,MBL-i-FB-SL-HKCAMYGBAU_16.10,0,#23843752073320538,MBL-i-FB-SL-HKCAMYGBAU_7.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843778916880538,FB-MBL-a-UKCAAU-BPC-US_16.10,10,,,,,,,,
#23843778916870538,MBL-i-FB-DACH_16.10,0,#23843752073290538,MBL-i-FB-DACH_7.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843778916860538,MBL-a-FB-US-BackupCreatives_16.10,23,,,,,,,,
#23843778916850538,MBL-a-FB-EU-T3-BackupCreatives_16.10,0,#23843696790380538,MBL-a-FB-EU-T3,0,0,0,APP_INSTALLS,0,PAUSED
#23843778916840538,MBL-a-FB-DACH-BackupCreatives_16.10,0,#23843696023490538,MBL-a-FB-DACH,0,1,0,APP_INSTALLS,0,ACTIVE
#23843778916830538,MBL-i-FB-US-BackupCreatives_16.10,0,#23843697975710538,MBL-i-FB-SL-US,0,0,0,APP_INSTALLS,0,ACTIVE
#23843778916820538,MBL-i-FB-EU-T3-BackupCreatives_16.10,0,#23843712822630538,MBL-i-FB-EU-T3-24.09,0,0,0,APP_INSTALLS,0,PAUSED
#23843778916810538,MBL-a-FB-BENELUX_16.10,0,#23843752073370538,MBL-a-FB-BENELUX_7.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843778916800538,MBL-i-FB-IDTHNLFRBE_16.10,0,,,,,,,,
#23843778916790538,MBL-i-FB-TWKR_16.10,0,,,,,,,,
#23843778916780538,MBL-a-FB-BackupCreatives-T5_16.10,8,,,,,,,,
#23843778916770538,MBL-i-JP_16.10,2,,,,,,,,
#23843778916760538,MBL-a-FB-BR-BPC-16.10,0,#23843720772110538,MBL-a-fb-MXINRUTRIDBR,0,1,0,APP_INSTALLS,0,ACTIVE
