,adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
2026,#23843763256880644,WB-a-CT-US-U 16x9-20191023-M-pumpkin-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2027,#23843763256670644,WB-i-CT-US-U 16x9-20191023-M-pumpkin-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2028,#23843763254880644,WB-a-CT-US-U 4x5-20191023-M-pumpkin-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2029,#23843763254050644,WB-i-CT-US-U 4x5-20191023-M-pumpkin-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2030,#23843763253260644,WB-a-CT-US-U 1x1-20191023-M-pumpkin-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2031,#23843763253000644,WB-i-CT-US-U 1x1-20191023-M-pumpkin-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2032,#23843759439780644,WB-a-CT-US-U 9x16-20191022-R-emojiupdates-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2033,#23843759439690644,WB-i-CT-US-U 9x16-20191022-R-emojiupdates-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2034,#23843759389720644,WB-a-CT-US-U 9x16-20191021-K-set1_successfulwinning-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2035,#23843759389590644,WB-i-CT-US-U 9x16-20191021-K-set1_successfulwinning-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2036,#23843755923600644,WB-a-CT-US-U 16x9-20191021-M-ballbreak-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2037,#23843755923190644,WB-i-CT-US-U 16x9-20191021-M-ballbreak-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2038,#23843755903730644,WB-a-CT-US-U 4x5-20191021-M-ballbreak-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
